,,,,,,,,,,,
,,Temps farm / map / perso,,,,,,,,,
,,,,,,,,,,,
,,(loot à vendre NPC),,,,,,,,,
,,Q,Prix / u,Zeny,,,,,,,
,objets,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,Monstre,Monstre,Monstre,Monstre,Monstre
,,,,0,,base XP,,,,,
,,,,0,,HP,,,,,
,,,,0,,HIT (100%),,,,,
,,,total →,0,,FlEE (95 %),,,,,
,,,,,,,,,,,
,,(loot utile plutôt à conserver),,,,,,,,,
,,Q,Prix / u,Zeny,,,,,,,
,objets,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,,0,,,,,,,
,,,total →,0,,,,,,,
,,,,,,,,,,,
,,"valeure totale
zeny npc",,0,,,,,,,
